Date,Price
10/12/2021,94.5751
10/13/2021,95.7939
10/14/2021,98.3841
10/15/2021,94.182
10/16/2021,87.8162
10/17/2021,90.9894
10/18/2021,94.1606
10/19/2021,95.0357
10/20/2021,98.2661
10/21/2021,96.2044
10/22/2021,91.0919
10/23/2021,91.3902
10/24/2021,93.764
10/25/2021,90.7418
10/26/2021,91.4682
10/27/2021,93.6725
10/28/2021,94.7656
10/29/2021,93.6499
10/30/2021,93.3286
10/31/2021,94.1733
11/1/2021,92.9144
11/2/2021,94.7677
11/3/2021,93.455
11/4/2021,92.4131
11/5/2021,91.3696
11/6/2021,93.3101
11/7/2021,92.1787
11/8/2021,93.7401
11/9/2021,91.1568
11/10/2021,92.0513
11/11/2021,91.1132
11/12/2021,94.4196
11/13/2021,92.7076
11/14/2021,91.8779
11/15/2021,90.8929
11/16/2021,94.3373
11/17/2021,95.5678
11/18/2021,95.4881
11/19/2021,93.135
11/20/2021,92.745
11/21/2021,92.6561
11/22/2021,96.24
11/23/2021,96.7036
11/24/2021,97.0597
11/25/2021,93.792
11/26/2021,92.4546
11/27/2021,90.8839
11/28/2021,92.467
11/29/2021,90.1097
11/30/2021,92.2519
12/1/2021,91.3354
12/2/2021,92.2813
12/3/2021,91.8809
12/4/2021,93.6872
12/5/2021,96.7778
12/6/2021,94.811
12/7/2021,93.4522
12/8/2021,94.408
12/9/2021,96.8859
12/10/2021,96.7701
12/11/2021,96.1133
12/12/2021,99.0416
12/13/2021,97.682
12/14/2021,98.348
12/15/2021,96.661
12/16/2021,92.0055
12/17/2021,90.887
12/18/2021,91.625
12/19/2021,92.1421
12/20/2021,92.2793
12/21/2021,91.0278
12/22/2021,89.0496
12/23/2021,86.9144
12/24/2021,86.3596
12/25/2021,83.9839
12/26/2021,83.3174
12/27/2021,85.4648
12/28/2021,81.9361
12/29/2021,83.2783
12/30/2021,83.6497
12/31/2021,78.5773
1/1/2022,73.9534
1/2/2022,74.8621
1/3/2022,74.2507
1/4/2022,74.2772
1/5/2022,78.66
1/6/2022,75.5712
1/7/2022,76.6271
1/8/2022,74.8762
1/9/2022,75.4997
1/10/2022,76.7577
1/11/2022,77.7343
1/12/2022,73.8256
1/13/2022,69.8266
1/14/2022,67.1179
1/15/2022,65.1827
1/16/2022,65.9603
1/17/2022,67.791
1/18/2022,69.6556
1/19/2022,68.4824
1/20/2022,66.9205
1/21/2022,78.9697
1/22/2022,85.0943
1/23/2022,81.679
1/24/2022,84.238
1/25/2022,85.0296
1/26/2022,85.3457
1/27/2022,83.3381
1/28/2022,79.1523
1/29/2022,78.0389
1/30/2022,77.7419
1/31/2022,75.9168
2/1/2022,76.5963
2/2/2022,78.9396
2/3/2022,78.4624
2/4/2022,75.1229
2/5/2022,72.5816
2/6/2022,74.0442
2/7/2022,74.6252
2/8/2022,74.0052
2/9/2022,74.4356
2/10/2022,74.5074
2/11/2022,76.4358
2/12/2022,75.94
2/13/2022,76.4088
2/14/2022,75.7385
2/15/2022,74.3348
